Window part.   		4 letters,"SASH.    	A movable (up and down) window frame is called a sash, from the French word for a frame: ""châssis""."
First name in westerns.   		4 letters,"ZANE.    	Zane Grey certainly did hit on the right niche. He wrote romanticized western novels and stories that really lent themselves to the big screen in the days when westerns were very popular movies. Incredibly, 110 films were made based on his work."
Shoving matches?.   		4 letters,"SUMO.    	Sumo is a sport that is practiced professionally only in Japan, the country of its origin. There is an international federation of sumo wrestling now, and one of the organization's aims is to have the sport accepted as an Olympic event."
"""Funky Cold Medina"" rapper Tone ___.   		3 letters",LOC.    	Tone Lōc is the stage name of the rapper Anthony Smith.
Latvia's capital.   		4 letters,"RIGA.    	Riga is the capital city of Latvia. The historical center of Riga is a UNESCO World Heritage Site, declared as such because of the city's magnificent examples of Art Nouveau architecture."
"The first ""R"" in R&R.   		4 letters",REST.    	Rest and relaxation/recuperation (R&R)
Second-oldest General Mills cereal.   		3 letters,"KIX.    	Kix cereal has been around since 1937, would you believe? Kix used to be just puffed grains, processed to give the characteristic shape. Then the decision was made to add sugar to get better penetration into the young kid marketplace. Sad really ..."
"Fifth and Park, in N.Y.C.   		4 letters",AVES.    	Fifth Avenue in New York is sometimes referred to as the 'most expensive street in the world' as the section that runs through Midtown Manhattan is home to upscale stores such as Saks Fifth Avenue.
Bar mixer.   		4 letters,"COLA.    	The first cola drink to become a commercial success was Coca-Cola, soon after it was invented by a druggist in 1886. That first Coca-Cola was flavored mainly with kola nuts and vanilla. The formulation was based on an alcoholic drink called Coca Wine that had been on sale for over twenty years. The original alcoholic version actually contained a small concentration of cocaine."
Kitchen gadget brand.   		3 letters,OXO.    	The OXO line of kitchen utensils is designed to be ergonomically superior to the average kitchen tool. The intended user of OXO products is someone who doesn't have the normal range of motion or strength in the hands e.g. someone suffering from arthritis.
Prefix with athlete.   		4 letters,"TRI-.    	An Ironman Triathlon is a race involving a 2.4 mile swim, a 112 mile bike ride and a marathon run of just over 26 miles. The idea for the race came out of a debate between some runners in the 1977 Oahu Perimeter Relay. They were questioning whether runners, swimmers or bikers were the fittest athletes. The debaters decided to combine three local events to determine the answer, inviting athletes from all three disciplines. The events that were combined to come up with the first triathlon were the Waikiki Roughwater swim (2.4 miles), the Around-Oahu Bike Race (115 miles) and the Honolulu Marathon (26.2 miles). The idea was that whoever finished first ""we'll call him the Iron Man"". The first triathlon was run in 1978, with fifteen starters and only twelve finishers. The race format is used all over the world now but the Hawaiian Ironman is the event that everyone wants to win."
Counterfeiter fighter.   		5 letters,T-MAN.    	A T-man is a law-enforcement agent of the US Treasury (the 'T' stands for Treasury).
Where America's Day Begins.   		4 letters,"GUAM.    	Guam is a US territory in the western Pacific Ocean, the largest of the Mariana Islands. Guam is also the first territory in the United States to see the sun rise on any particular day. As such, it has adopted the motto, ""Where America's day begins""."
"""Cowboy and the Senorita,"" e.g.   		5 letters","OATER.    	'Cowboy and the Senorita"" is a 1944 Roy Rogers movies. It is the first film in which Rogers appears on screen with Dale Evans, who was later to become his wife."
I.R.S.   		5 letters,T-MAN.    	A T-man is a law-enforcement agent of the US Treasury (T is for Treasury).
They're often loaded.   		4 letters,"SOTS.    	Our word ""sot"" comes from the Old English ""sott"", meaning a fool. The word ""sot"" started to be associated with alcohol and not just foolery in the late 1500s."
Folkie Phil.   		4 letters,"OCHS.    	Phil Ochs was an American protest singer who was active in the days of the Vietnam War. Sadly, the singer's mental health declined at the very time the war was winding down. Saigon fell in 1975, and Ochs committed suicide in 1976."
"""Pastorals"" poet.   		4 letters","POPE.    	Alexander Pope was an English poet, famous for his own compositions as well as for a translation of Homer. One of his most notable poems is ""Ode on Solitude"" that opens with:"
Marquis de ___.   		4 letters,"SADE.    	The Marquis de Sade was a French aristocrat with a reputation for a libertine lifestyle. He was also a writer, well known for his works of erotica. He fell foul of the law for some his more extreme practices and for blaspheming the Catholic church. On an off, he spent 32 years of his life in prison and in insane asylums."
Early Mexican.   		5 letters,"AZTEC.    	The Aztec people of Central America dominated the region in the 14th - 16th centuries. Two traits of the Aztec people are oft cited today. They built some magnificent pyramids, and they also engaged in human sacrifice. The two traits were linked in a way ... for the consecration of the Great Pyramid of Tenochtitlan, 84,400 prisoners were sacrificed over a period of four days."
"Bit of footwear, for short.   		3 letters","MOC.    	'Moc' is short for 'moccasin', the type of shoe."
Cathedral areas.   		5 letters,"APSES.    	The apse of a church or cathedral is a semicircular recess in an outer wall, usually with a half-dome as a roof, and often where there resides an altar. Originally, apses were used as burial places for the clergy and also for storage of important relics."
Venerated visitor.   		4 letters,POPE.    	There is always a big celebration when the Pope comes to visit.
Tennis's Nastase.   		4 letters,"ILIE.    	I thought that Ilie Nastase was the most entertaining tennis player of the 70s, the days of Jimmy Connors, Bjorn Borg and John McEnroe. No matter how much pressure there was in a match, he always had time to give the crowd a laugh."
Adriatic port.   		4 letters,"BARI.    	Bari is a major port city on the Adriatic coast of Italy. Bari has the unfortunate distinction of being the only city in Europe to experience chemical warfare during WWII. Allied stores of mustard gas were released during a German bombing raid on Bari in 1943. Fatalities caused by the chemical agent were reported as 69, although other reports list the number as maybe a thousand military personnel and a thousand civilians."
It may have no stars.   		3 letters,"PAN.    	I think the idea here is that a 'pan' is a severe criticism, say of a movie or play. A critic who pans a film might give it no stars."
Weapon for Iraqi insurgents: Abbr..   		3 letters,"IED.    	Sadly, having spent much of my life in the border areas between southern and Northern Ireland, I am all too familiar with Improvised Explosive Devices, and their effect. No matter what one's politics, one had to admire the guts of those soldiers who spent their careers defusing (or attempting to defuse) such devices. Of course these days IEDs are very much in the news in Iraq and Afghanistan."
Like a ram or lamb.   		5 letters,"OVINE.    	The Latin word for ""sheep"" is ""ovis"", giving us the adjective ""ovine"", meaning ""like a sheep""."
Chemical ending.   		4 letters,"-ANE.    	The 'smaller' alkanes are gases and are quite combustible. Methane (CH4) is the main component of natural gas with ethane (C2H6) being the second largest component. Propane (C3H8) is also found in natural gas and is heavy enough to be readily turned into a liquid by compression, for ease of transportation and storage. Butane (C4H10) is also easily liquefied under pressure and can be used as the fuel in cigarette lighters or as the propellant in aerosol sprays. The heavier alkanes are liquids and solids at room temperature."
Sacred symbol.   		5 letters,"TOTEM.    	Totem is the name given to any entity that watches over a group of people. As such, totems are usually the subjects of worship. Totem poles are really misnamed, as they are not intended to represent figures to be worshiped, but rather are heraldic in nature often celebrating the legends or notable events in the history of a tribe."
Neighbor of a delt.   		3 letters,"PEC.    	'Pecs' is the familiar term for the chest muscle, more correctly known as the pectoralis major muscle. 'Pectus' is a the Latin word for 'breast, chest'."
"""The Divine Comedy,"" e.g.   		4 letters","EPIC.    	Dante Alighieri's 'Divine Comedy' is an epic poem dating back to the 14th century. The first part of that epic is 'Inferno', which is the Italian word for 'Hell'. In the poem, Dante is led on a journey by the poet Virgil, starting at the gates of Hell on which are written the famous words 'Abandon all hope, ye who enter here'."
QB's stat.   		3 letters,YDS.    	Quarterbacks rack up yards.
WWW code.   		4 letters,"HTML.    	HTML is HyperTest Markup Language, the language used to write most Internet web pages (including this one)."
___ bar.   		5 letters,"TAPAS.    	""Tapa"" is the Spanish word for ""lid"", and there is no clear rationale for why this word came to be used for an appetizer. There are lots of explanations cited, all of which seem to involve the temporary covering of one's glass of wine with a plate or item of food to either preserve the wine or give one extra space at the table."
Martini's partner.   		5 letters,"ROSSI.    	The company that is today known as Martini & Rossi was started in the mid-1800s in Italy, by Alessandro Martini and Luigi Rossi (and a third partner who sold out years later). From day one it was focused on bottling the fortified wine known as vermouth. Nowadays, the company is also famous for its sparkling wines, and its sponsorship of Grand Prix racing teams. And yes, the famous cocktail is probably named for Mr. Martini."
Thrifty alternative.   		4 letters,"AVIS.    	Avis has been around since 1946, and is the second largest car rental agency after Hertz. Avis has the distinction of being the first car rental company to locate a branch at an airport."
Sierra ___.   		5 letters,"LEONE.    	The Republic of Sierra Leone is a country in West Africa, lying on the Atlantic Coast. The capital city of Freetown was originally set up as a colony to house the ""Black Poor"" of London, England. These people were mainly freed British slaves of Caribbean descent, who were living a miserable life in the run-down parts of London. Perhaps to help the impoverished souls, perhaps to rid the streets of ""a problem"", three ships were chartered in 1787 to transport a groups of blacks, with some whites, to land purchased in Sierra Leone. Those who made the voyage were guaranteed British citizenship and protection. The descendants of these immigrants, and others who made the journey over the next 60 years, make up the ethnic group that's today called the Sierra Leone Creole."
D.C.'s New York and Pennsylvania.   		4 letters,"AVES.    	Famously, the layout of the streets in Washington was designed by French-born American architect Pierre Charles L'Enfant. The L'Enfant Plan called for a grid of east-west and north-south streets. This grid was criss-crossed with diagonal avenues. The avenues and streets met at circles and rectangular plazas. Later, the diagonal avenues were named for states of the union."
