AH_,"AHI.    	Yellowfin tuna is usually marketed as ""ahi"", its Hawaiian name. Yellowfin tuna is one big fish, often weighing over 300 pounds."
AC_E,"ACME.    	The ""acme"" is the highest point, coming from the Greek word ""akme"" which has the same meaning."
C_A,CSA.    	The Confederate States of America (CSA) set up government in 1861 just before Abraham Lincoln took office. Jefferson Davis was selected as President of the CSA at its formation and retained the post for the life of the government.
_PE,"APE.    	What a classic movie 'King Kong' is, starring Fay Wray as the young woman that Kong falls for. Apparently Wray was very interested in the role in which she was told she would be playing opposite the ""tallest, darkest leading man in Hollywood"". She thought it might be Clark Gable. Boy was she wrong ..."
H_R,"HER.    	The Ground Beneath Her Feet' is a song released by Irish band U2 in the year 2000. The lyrics of the song are credited to British author Salman Rushdie, as they were taken directly from Rushdie's novel, also called 'The Ground Beneath Her Feet'."
_PA,CPA.    	Certified public accountant (CPA)
EL_A,"ELSA.    	""Lohengrin"" is a very popular opera by Richard Wagner, first performed in 1850. Many arias from ""Lohengrin"" are staples on ""Opera's Greatest Hits"" collections."
AP_,"APE.    	When RKO released the 1933 movie 'King Kong', the promotional material listed the ape's height as 50 feet. During filming, a bust was created for a 40-foot ape, as well as a full-size hand that went with a 70-foot Kong."
R_N,"RON.    	Ronnie Wood is one of the Rolling Stones. The Stones were formed in 1962, and Wood joined in 1975. Prior to his stint with the Stones, Wood was a member of the Jeff Beck Group as well as the Faces."
PD_,"PDA.    	A device like perhaps an iPhone, Droid, or Treo can be termed a Personal Digital Assistant (PDA)."
K_A,"KIA.    	The Kia Soul is a compact car produced in South Korea, although it was designed by Kia here in Irvine, California."
_AI,"TAI.    	The Mai Tai cocktail is strongly associated with the Polynesian islands, but it was supposedly invented in 1944 in Trader Vic's restaurant in Oakland, California. One recipe is 6 parts white rum, 3 parts orange curaçao, 3 parts Orgeat syrup, 1 part rock candy syrup, 2 parts fresh lime juice, all mixed with ice, and then a float of 6 parts dark rum."
OM_HA,"OMAHA.    	ConAgra foods is headquartered in Omaha, Nebraska. Even the name of the company defines it as the antithesis of the local ""farmers market"". ConAgra is derived from the words ""consolidated"" and ""agriculture""."
EU_O,"EURO.    	The European Union (EU) today stands at a membership of 27 states. The Euro is the official currency of only 16 of the 27. The list of states in the EU that don't use the Euro includes the UK, Denmark and Sweden."
_AI,"TAI.    	'Tai-Pan' is a novel by James Clavell, the second in his famous 'Asian Saga' suite of six titles. The six books are:"
_MAHA,OMAHA.    	Omaha is a poker card game similar to Texas hold 'em. The two games differ in that there are four initial hole cards per player in Omaha (as opposed to just two in Texas hold 'em). And in Omaha each player's hand is made up of exactly three cards from the board and exactly two of the player's own cards.
E_SE,"ERSE.    	We've been using the word ""spunk"" to mean ""pluck, courage"" since the late 1700s. Prior to that it was a Scottish word meaning ""spark"", that we absorbed into English."
UT_H,"UTAH.    	The state of Utah does indeed have six sides to it. It's almost shaped like a rectangle, but there is a 'bite' out of that rectangle in the northeast corner of the state."
