R_NDO,"RONDO.    	A rondo was often chosen by composers in the classical period for the last movement of a sonata (or symphony or concerto, for that matter). In rondo form there is a principal theme that alternates with a contrasting theme(s). So, the original theme anchors the whole piece in between secondary digressions."
_EMI,"SEMI.    	A 'semi' is a 'semi-trailer truck'. The vehicle is so called because it consists of a tractor and a half-trailer. The half-trailer is so called because it only has wheels on the back end, with the front supported by the tractor."
T_IT,"TWIT.    	""Twit"" is a word not used very often here in America. It's a slang term that used to be quite common in England, meaning someone foolish and idiotic."
CON_,"CONE.    	The retina is the tissue that lines the inside of the eye, the tissue that is light-sensitive. There are (mainly) two types of cell in the retina that are sensitive to light, called rods and cones. Rods are cells that best function in very dim light and only provide black-and-white vision. Cones on the other hand function in brighter light and can perceive color."
CO_ET,"COMET.    	The Comet brand of household cleanser produced a famous series of ads in the sixties through the eighties that featured a character known as 'Josephine the Plumber'. Played by actress Jane Withers, she was noted for uttering the line 'Nothing can hold a can to Comet!'"
REEV_,"REEVE.    	""Somewhere in Time"" is a fascinating 1980 film directed by Jeannot Szwarc, starring Christopher Reeve and Jane Seymour. The movie is a screen adaptation of a 1975 novel ""Bid Time Return"" by Richard Matheson. The movie has a real cult following, with a fan club called INSITE (International Network of Somewhere in Time Enthusiasts). Many members of INSITE meet every year, in period costume, at the Grand Hotel on Mackinac Island, Michigan that was the setting of the movie (and where it was largely filmed)."
IRAQ_,"IRAQI.    	It's quite a coincidence that the Iraqi city of Basra has a name that is an anagram of ""Arabs"", isn't it? Basra also features in the H. G. Wells science-fiction tale ""The Shape of Things to Come"". Written in 1933, the storyline predicts a global conflict (WWII) that breaks out in 1940 lasting for ten years, after which chaos reigns as no victor emerges. Following worldwide plague, a benevolent dictatorship emerges, and the world moves towards a serene utopia. In time, the dictators are overthrown and peacefully retired, and the people of the Earth live happily ever after, all citizens of one, global state, with its capital in Basra in the Middle East."
UR_AH,"URIAH.    	Uriah Heep is a sniveling, insincere character in the novel ""David Copperfield"" by Charles Dickens. The character is such a ""yes man"", that even today we might call someone we believe to behave the same way ""a Uriah Heep""."
_ABOB,NABOB.    	A 'nawab' (also 'nabob') was a deputy governor in the Mogul empire in India. The term is also used as an Muslim honorary title in India and Pakistan. We use 'nabob' in English for a person of wealth and prominence.
_NEAD,"SNEAD.    	Sam Snead was probably the most successful golfer never to win a US Open title, as he won a record 82 PGA Tour events. Snead did win seven majors, but never the US Open. He was also quite the showman. He once hit the scoreboard at Wrigley Field stadium with a golf ball by teeing off from home plate."
