IN_O,"INDO-.    	In the strict sense of the term, Indochina is a region in Southeast Asia that corresponds to the former French territory known as French Indochina. Today this region is made up of the countries of Cambodia, Laos and Vietnam. However, the term 'Indochina' is more generally used to describe Mainland Southeast Asia, and in this usage it also encompasses Myanmar, Singapore and Thailand."
EX_,"EXE.    	In the Windows Operating System, a file with the extension .exe is an ""executable"" file."
_ODA,"CODA.    	In music, a coda is primarily a passage that brings a movement to a conclusion. 'Coda' is Italian for 'tail'."
VERN_,"VERNE.    	What a groundbreaking author was Jules Verne. He pioneered the science fiction genre, writing about space travel, air travel and underwater travel, long before they were practical and proved feasible. Verne is the second most translated author of all time, with only Agatha Christie beating him out."
C_LT,"CELT.    	In the early days of basketball, when a ball went out of bounds possession was awarded to the player who first retrieved the ball. This lead to mad scuffles off the court, often involving spectators. As the game became more organized, courts were routinely ""caged"" largely because of this out of bounds rule to limit interation with the crowd. So, basketball players are sometimes referred to as ""cagers"". Quite sensibly, the out of bounds rule was changed ..."
_CULI,"OCULI.    	Oculus is the Latin word for ""eye""."
P_CMAN,"PAC-MAN.    	The Pac-Man arcade game was first released in Japan in 1980 and is as popular today as it ever was, at least in some circles. The game features characters that are maneuvered around the screen to eat up dots and earn points. The name comes from the Japanese folk hero ""Paku"", known for his large appetite."
LIR_,"LIRR.    	The Long Island Rail Road is the commuter rail service that runs all over Long Island, New York, with 124 stations and 700 miles of track. More people use the LIRR than any other commuter railroad in the US. It is also the only commuter railroad in the country that operates 24 hours a day, 7 days a week."
_LAT,SLAT.    	A blind in a window is often composed of slats.
LA_S,"LASS.    	Robert Burns wrote the words for ""The Lovely Lass of Inverness"" in 1816, to the tune of a traditional folk song. Beethoven included the song in his Opus 108, ""Twenty-Five Scottish Songs"", published just two years later, in 1818."
AT_,"ATP.    	Adenosine triphosphate (ATP) is a chemical used in the body to transfer energy for cell-to-cell. One of the main uses of ATP is to shorten muscles, so that they can do work."
O_LON,ORLON.    	Orlon is the brand name used by the DuPont Corporation for the acrylic fibers the company developed in 1941.
ALAN_,"ALANA.    	In the original story by Hans Christian Anderson (written in 1836), neither the Little Mermaid nor any of her sisters were actually named. The names came part and parcel with the Disney movie of 1989."
TEE_A,"TEENA.    	Teena Marie is a very successful R&B singer, born Mary Christine Brockert."
_YRO,"PYRO.    	'Pyro' is the combining form of the Greek word for ""fire"". A pyromaniac (pyro) is someone with an abnormal desire to start fires, or with a general obsession with fire."
P_T,"POT.    	The ""pot"" in a card game has been referred to as the kitty since the 1880s. It's not certain how the name ""kitty"" evolved but possibly it came from ""kit"", the necessary equipment for the game."
COR_,"CORA.    	In the incredibly successful period drama 'Downton Abbey"", the patriarch of the family living at Downton is Robert Crawley, the Earl of Grantham or Lord Grantham. The character is played by Hugh Bonneville. Lord Grantham married American Cora Levinson (played by Elizabeth McGovern. Lord and Lady Grantham had three daughters, and no son. The lack of a male heir implied that the Grantham estate would pass to a male cousin, and out of the immediate family. The Grantham daughters are Lady Mary (played by Michelle Dockery), Lady Edith (played by Laura Carmichael) and Lady Sybil (played by Jessica Brown Findlay). Lady Sybil had the audacity to marry the family chauffeur, an Irish nationalist. The shame of it all ..."
_SLES,"ISLES.    	The New York Islanders are one of three NHL teams in the New York City area, along with the New Jersey Devils and New York Rangers. The team's heyday was the early eighties, when they won the Stanley Cup for four seasons in succession, 1980-83. More recently they have been struggling, not having won a playoff series since the 1992-93 season."
_OHR,"BOHR.    	Niels Bohr was a Danish physicist who won his 1922 Nobel Prize for his work on quantum mechanics and atomic structure. Later in his life Bohr was part of the team working on the Manhattan Project, developing the first atomic bomb."
_IH,"NIH.    	The National Institues of Health is made up of 27 different institutes, which cordinate their research and services. Examples of member institutes are the National Cancer Institute, the National Institute of Mental Health and the National Institute on Aging."
UMA_S,UMASS.    	The athletic teams of the University of Massachusetts Amherst are known as the UMass Minutemen. The women's teams are indeed known as Minutewomen.
E_PS,"EPPS.    	Omar Epps is the actor who plays Dr. Eric Foreman on the excellent television series ""House""."
T_LIA,"TALIA.    	The actress Talia Shire is best-known for playing Rocky's wife Adrian in the 'Rocky' series of movies. She also played Connie, the daughter of Don Corleone, in 'The Godfather' films. Shire is the sister of movie director Francis Ford Coppola and the aunt of actor Nicolas Cage. Her son is the actor Jason Schwartzman."
ATONA_,"ATONAL.    	Arnold Schoenberg was a champion of the use of atonality in music. I admit to having a somewhat closed mind when it comes to atonality, so I have very little of his music in my collection."
SI_ON,"SIMON.    	Alvin and the Chipmunks is a cartoon musical group that was created for the recording of a novelty song in 1958 called 'The Chipmunk Song (Christmas Don't Be Late)'. The three Chipmunks (Alvin, Simon and Theodore) were all voiced by singer Ross Bagdasarian, Sr. but with a speedy playback to create high-pitched voices."
S_Y,"SKY.    	'Firmament' is an old term for the sky or the heavens. Back then the sky was considered to be ""firm"", a solid dome covering the Earth."
_ERE,"PERE.    	Portrait of Père Tanguy' is an 1887 painting by Vincent van Gogh. The subject was someone who sold art supplies and was an art dealer, someone who offered some of van Gogh's works for sale."
_LETA,"ALETA.    	Aleta is the the wife of Prince Valiant in the long-running comic strip. Edward, Duke of Windsor, called the ""Prince Valiant"" comic strip the ""greatest contribution to English Literature in the past one hundred years"". I'm not so sure ..."
_NNAL,"ANNAL.    	'Annal' is a rarely used word, the singular of the more common 'annals'. An annal would be the recorded events of one year, with annals being the chronological record of events in successive years. The term 'annal' comes from the Latin 'annus' meaning 'year'."
_MELT,"SMELT.    	Metals are found in ore in the form of oxides. In order to get pure metal from the ore, it is heated and the oxides reduced (i.e. the oxygen is removed) in the chemical process known as smelting. The oxygen is extracted by adding a source of carbon or carbon monoxide which uses up the excess oxygen atoms to make carbon dioxide, a waste product of smelting (and of course, a greenhouse gas)."
A_IN,"AMIN.    	Idi Amin received most of his military training in the British armed forces, eventually achieving the highest rank possible for a Black African in the British Colonial Army in 1959, that of Warrant Officer. On his return to Uganda he joined the military and quickly rose to the rank of Deputy Commander of the Army. During that time he was quite the athlete. He was a noted rugby player and swimmer, and for nine years held the Ugandan national light-heavyweight boxing title. By the early seventies Amin was commander of all the armed forces of Uganda, and in 1971 seized power in a military coup, displacing the country's president Milton Obote. There followed seven years of brutal rule by Amin during which it is estimated that between 100,000 and 500,000 people were murdered. Amin was ousted from power in 1979 after a war with Tanzania, and fled to Libya where he stayed for a year. He then moved to Saudi Arabia, where he was financially supported by the Saudi Royal Family for the remainder of his life. He died in 2003."
D_LE,"DOLE.    	James Dole lent his name to today's Dole Food Company. James Dole was known as the Pineapple King, as he developed the pineapple industry in Hawaii, forming the Hawaiian Pineapple Company, the forerunner to the Dole Food Company. Dole might have had some help on the way, as he was cousin to Sanford B, Dole, President of the Republic of Hawaii from 1894 to 1900."
PE_N,PENN.    	The University of Pennsylvania (Penn or UPenn) was founded in 1740 by by Benjamin Franklin. Penn was the first school in the country to offer both graduate and undergraduate courses.
NAN_E,"NANCE.    	Jack Nance was an American actor who worked a lot with director David Lynch. He was won of the stars of the TV series ""Twin Peaks"" in which he played Pete Martell, a henpecked lumberjack. Coincidentally, the Log Lady in ""Twin Peaks"" was played by Catherine E. Coulson, one-time wife of Nance."
I_OR,"IVOR.    	Ivor Novello was one of the most popular entertainers in Britain in the early 20th century. Novello was a Welsh composer, singer and actor. On top of his success on the stage and in front of the camera, he even wrote the dialogue for the 1932 movie ""Tarzan the Ape Man"" starring Johnny Weissmuller."
I_D,"IND.    	Bernie Sanders has served as US Senator from Vermont since 2007. Sanders describes himself as a democratic socialist, and used to appear on the ballot as an independent. Prior to joining the Democratic Party in 2015, Sanders had been the longest-serving independent in the history of the US Congress. "
NI_ER,"NINER.    	'Niner' is the way one might say the number '9' in radio-telephony, and in the military."
ARMA_I,"ARMANI.    	Giorgio Armani is an Italian fashion designer and founder of the company that has borne his name since 1975. Although Armani is famous for his menswear, the company makes everything from jewelry to perfume."
AC_DS,"ACIDS.    	As we all recall from chemistry class, a pH of 7 is considered neutral, and water is the primary example of a substance with a pH equal to seven. Anything less than 7 is an acid, and anything above 7 is a base."
_MILIO,"EMILIO.    	Emilio Estevez is one of the members of the famous ""Brat Pack"", having appeared in ""The Breakfast Club"" and ""St. Elmo's Fire"". Estevez's father (and can't you tell it from looking at him?) is actor Martin Sheen. Estevez decided to keep his real name and not use his father's stage name of ""Sheen"". Charlie Sheen is Emilio's brother, and Charlie's real name is Carlos Estevez."
R_XY,"ROXY.    	The original Roxy Theater was opened in 1927 in New York City, designed to be the biggest and best ""motion picture palace"" of the day. The first theater operator was a professional, Samuel Rothafel. As part of the deal to entice him to take the job, the owners offered to name the theater after him. As Rothafel's nickname was Roxy, that's the name they used."
ALG_RE,"AL GORE.    	Al Gore was born in Washington DC, the son of Al Gore, Sr., then a US Representative for the state of Tennessee. After deferring his military service in order to attend Harvard, the younger Gore became eligible for the draft on graduation. Many of his classmates found ways of avoiding the draft, but Gore decided to serve and even took the ""tougher"" option of joining the army as an enlisted man. Actor Tommy Lee Jones shared a house with Gore in college and says that his buddy told him that even if he could find a way around the draft, someone with less options than him would have to go in his place and that was just wrong."
SA_DI,"SAUDI.    	The flag of Saudi Arabia has a green background on which there is a white sword, and above the sword an inscription in white lettering. The inscription is the Islamic declaration of faith, and translates as ""There is no God but Allah and Muhammad is the messenger of Allah"". Manufacturing the flag is a little tricky as it has two different sides, so the writing must read correctly (from right-to-left) on both sides. Also, the sword which lies horizontally under the inscription, it has to point away from the flagpole on both sides. If you think about it, each side is therefore a different design."
ALI_NS,"ALIENS.    	Xenophobia is the uncontrollable fear of foreigners. The word comes from Greek, with 'xeno' meaning guest, stranger or foreigner, and 'phobia' meaning fear, horror or aversion."
RI_,RIM.    	That would be in basketball.
MEA_E,"MEADE.    	George Meade was a career army officer with a depth of experience in civil and military operations even before the onset of the Civil War. During the war he rose to the level of commander of the Army of the Potomac, and is best remembered for leading the Union forces that defeated General Robert E. Lee at Gettysburg in 1863."
O_SK,OMSK.    	An oblast is an administrative division within the former Soviet Union.
_EZ,"FEZ.    	A fez is that red, cylindrical hat that is worn mainly in North Africa. It used to be very popular right across the Ottoman Empire. The etymology of ""fez"" is unclear, it seems, although it might have something to do with the Moroccan city named Fez. Back in my part of the world, the fez is famous, as it was warn by the the celebrity comedian/magician Tommy Cooper."
SHA_,"SHAW.    	The 1999 romantic comedy ""She's All That"" is an adaptation of George Bernard Shaw's ""Pygmalion"" (as is ""My Fair Lady""). The critics hated ""She's All That"", but it still made it to number one at the box office."
BAB_R,"BABAR.    	""Babar the Elephant"" originated in France, a creation of Jean de Brunhoff in 1931. The first book was ""Histoire de Babar"", a book so successful it was translated into English two years later for publication in Britain and the US. Jean de Brunhoff wrote six more Babar stories before he died in 1937, and then his son Laurent continued his father's work."
SOU_,SOUP.    	
_DUC,"EDUC.    	The National Education Association is the largest labor union in the country, mainly representing public school teachers."
ALI_IS,"ALIBIS.    	""Alibi"" is the Latin word for ""elsewhere"" as in, ""I claim that I was 'elsewhere' when the crime was committed ... I have an 'alibi'""."
_ERN,"FERN.    	In the year 2000 the Crayola company, very cleverly I think, held the 'Crayola Color Census 2000' in which people were polled and asked for their favorite Crayola colors. President George W. Bush chose 'Blue Bell' and Tiger Woods chose 'Wild Strawberry'."
MO_IF,MOTIF.    	A motif is a recurring element in an artistic work or design.
_YRO,PYRO.    	Pyromaniac (pyro)
XER_X,XEROX.    	ColorQube is a line of printers produced by Xerox.
PER_,PERE.    	'Père' is the French for 'father'.
D_AMA,"DRAMA.    	'Law & Order' ran for many, many years on NBC, from 1990 to 2010. 'Law & Order' is a police drama that spawned a huge franchise of shows both here in the US and overseas. I am probably a bit biased, but my favorite is the version shown in BBC America called 'Law & Order: UK'."
A_ETA,"ALETA.    	There she is again, Aleta, the wife of Prince Valiant. Edward, the Duke of Windsor, called the ""Prince Valiant"" comic strip the ""greatest contribution to English Literature in the past one hundred years"". I'm not so sure ..."
S_ARTA,"SPARTA.    	Leonidas was a king of Sparta, famous for leading his army at the Battle of Thermopylae."
JIL_,"JILT.    	To ""jilt"" someone with whom you have a relationship, is to drop them suddenly or callously. ""Jilt"" is an obsolete noun that used to mean ""harlot"" or ""loose woman""."
KID_,"KIDD.    	The Scottish privateer, Captain William Kidd, came to a pretty awful end. After being found guilty of capital crimes by the English Parliament he was sentenced to death by hanging. He was bought to Execution Dock in London where he was hung, twice. The first attempt to hang him failed when the rope broke. The second attempt was 'successful', and then his body was suspended over the River Thames in an iron cage as a warning to would-be pirates. His body was left on display for twenty years."
_IREN,"SIREN.    	In Greek mythology, the Sirens were seductive bird-women who lured men to their deaths with their song. When Odysseus sailed closed to the island home of the Sirens he wanted to hear their voices, but safely. He had his men plug their ears with beeswax, and then had himself tied to the mast with orders not to free him until they were safe. On hearing their song he begged to be let loose, but the soldiers just tightened his bonds and sailed away to safety."
A_R,"AFR.    	Nigeria is in West Africa, and it takes its name from the Niger River which flows through the country. Nigeria is the most populous country on the continent."
UM_SS,UMASS.    	The John F. Kennedy Presidential Library is a splendid structure located right beside the Boston campus of the University of Massachusetts. President Kennedy chose the location for his library just one week before he was assassinated.
MAU_,"MAUI.    	Maui is the second largest of the Hawaiian islands. Maui is sometimes called the 'Valley Isle' as it is composed of two volcanoes to the northwest and southeast of the island, each with numerous beautiful valleys carved into them."
M_NTE,"MONTE.    	Del Monte Foods is headquartered just down the road here, in San Francisco. The company's roots go back to 1886, when a foods distributor in Oakland used the name Del Monte on a premium blend of coffee specially prepared for the Hotel Del Monte on the Monterrey peninsula."
