"""___ la Douce"".   		4 letters","IRMA.    	""Irma la Douce"" is a wonderful Billy Wilder movie, released in 1963. It stars Jack Lemmon and Shirley MacLaine. Lemmon plays a maligned Parisian policeman, and MacLaine is the popular prostitute Irma la Douce (literally ""Irma the Sweet""). Don't let the adult themes throw you as it's a very entertaining movie ..."
Adversaire's opposite.   		3 letters,"AMI.    	In French, a friend (ami) is the opposite of an adversary (adversaire)."
Louvre Pyramid architect.   		3 letters,"PEI.    	When I. M. Pei became the first foreign architect to work on the Louvre in Paris, he not only designed the famous glass and steel pyramid, but also worked on renovations throughout the museum. Hi design was very controversial, causing a lot of ill feeling among the public. Eventually, when the work was complete, public opinion became more favorable. Personally, I think it is magnificent, both inside and out."
"Love, in 51-Down.   		4 letters","AMOR.    	(51. Madrid's land, to natives : ESPANA)"
"""___ la Douce"" (1963 film).   		4 letters","IRMA.    	Irma la Douce' is a wonderful Billy Wilder movie, released in 1963. It stars Jack Lemmon and Shirley MacLaine. Lemmon plays a maligned Parisian policeman, and MacLaine is the popular prostitute Irma la Douce (literally 'Irma the Sweet'). Don't let the adult themes throw you as it's a very entertaining movie ..."
"Berate, with ""out"".   		4 letters","REAM.    	I must admit that I find the slang term ""ream"" meaning ""scold harshly"" quite distasteful. The usage as a reprimand dates back to about 1950."
Bruins' sch.   		4 letters,"UCLA.    	The UCLA Bruins mascots are Joe and Josephine Bruin, characters that have evolved over the years. There used to be ""mean"" Bruin mascots but they weren't very popular with the fans, so now there are only ""happy"" Bruin mascots at the games."
"When repeated, hero of children's lit.   		3 letters","TIN.    	The Adventures of Tintin' was one of my favorite series of comic books when I was growing up. We were encouraged to read the stories in the original French in order to help us learn the language for school. The series was created by the Belgian artist Georges Rémi, who wrote the stories under the pen name Hergé. Great stuff ..."
Science guy Bill.   		3 letters,"NYE.    	That would be ""Bill Nye the Science Guy"". Bill's show ran on Disney for 4 years from 1993-97. I was surprised to learn that Bill Nye was married briefly to Blair Tindall, the author of ""Mozart in the Jungle"". That's a great book, if anyone is interested ..."
Not much.   		5 letters,"A TAD.    	Back in the 1800s ""tad"" was used to describe a young child, and this morphed into our usage of ""small amount"" in the early 1900s. The original use of ""tad"" for a child is very likely a shortened version of ""tadpole""."
Bird so named because of its call.   		4 letters,"NENE.    	The bird called a nene is a native of Hawaii, and is also known as the Hawaiian goose. The name ""nene"" is imitative of its call. When Captain Cook landed on the islands in 1778, there were 25,000 nene living there. By 1950, the number was reduced by hunting to just 30 birds. Conservation efforts in recent years have been somewhat successful."
Peeping ___.   		3 letters,"TOM.    	In the legend of Lady Godiva, a noblewoman rode naked through the streets of Coventry in England, basically as a dare from her husband in return for relieving the taxes of his tenants. Lady Godiva issued instructions that all the town's inhabitants should stay indoors while she made her journey. However, a tailor in the town named Tom disobeyed the instructions by boring holes in the shutters on his windows, and 'peeped'. As a result, Peeping Tom was struck blind, and the term 'peeping Tom' has been in our language ever since."
14-time All-Star Rodriguez.   		4 letters,"ALEX.    	Poor old Alex Rodriguez earned more nicknames than just A-Rod. He has been called ""the Cooler"" by some players as there is a perception that teams go cold when he joins them and hot when he leaves. He has also been called ""A-Fraud"" by teammates because of another perception, that he is over-demanding."
Unit of work.   		3 letters,"ERG.    	An erg is a unit of energy or mechanical work. ""Erg"" comes from the Greek word ""ergon"" meaning ""work""."
Handle on farm equipment?.   		5 letters,"DEERE.    	John Deere invented the first commercially successful steel plow in 1837. Prior to Deere's invention, farmers used an iron or wooden plow that constantly had to be cleaned as rich soil stuck to its surfaces. The cast-steel plow was revolutionary as its smooth sides solved the problem of ""stickiness""."
Uintah and Ouray Reservation tribe.   		4 letters,"UTES.    	The Ute are a group of American Indian tribes that now reside in Utah and Colorado. The Ute were not a unified group as such, but rather a loose association of nomadic tribes."
"""Skyfall"" singer.   		5 letters","ADELE.    	The English singer Adele Adkins goes by the stage name ""Adele"". Adele describes her musical style as 'heartbroken soul'. Not too long ago, Adele wrote and performed the theme song for the latest James Bond film, 'Skyfall'."
"Rational self, to Freud.   		3 letters","EGO.    	Sigmund Freud created a structural model of the human psyche, breaking it into three parts: the id, the ego, and the super-ego. The id is that part of the psyche containing the basic instinctual drives. The ego seeks to please the id by causing realistic behavior that benefits the individual. The super-ego almost has a parental role, contradicting the id by introducing critical thinking and morals to behavioral choices."
"Santa ___, Calif.   		4 letters","ROSA.    	Santa Rosa is the largest city in California's Wine Country, and the county seat of Sonoma County. The epicenter of the so-called 1906 San Francisco Earthquake was located near Santa Rosa, so there was actually more damage in Santa Rosa, for the size of the city, than there was in San Francisco."
Psyche part.   		3 letters,"EGO.    	Sigmund Freud created a structural model of the human psyche, breaking it into three parts: the id, the ego, and the super-ego. The id is that part of the psyche containing the basic instinctual drives. The ego seeks to please the id by causing realistic behavior that benefits the individual. The super-ego almost has a parental role, contradicting the id by introducing critical thinking and morals to behavioral choices."
Charlie Chaplin's last wife.   		4 letters,"OONA.    	Oona O'Neill dated J. D. Salinger and Orson Welles in her teens, but ended up marrying Charlie Chaplin. Oona was still pretty young when she married Chaplin, much to the dismay of her famous father, the playwright Eugene O'Neill. After the marriage Eugene disowned Oona as he was pretty upset about 54-year-old Chaplin marrying his 18-year-old daughter."
Escape.   		3 letters,"LAM.    	To be ""on the lam"" is to be in flight, to have escaped from prison. It is American slang that originated at the end of the 19th century. The word ""lam"" also means to ""beat"" or ""thrash"", as in ""lambaste"". So ""on the lam"" might derive from the phrase ""to beat it"", to scram."
G.R.E. takers: Abbr..   		3 letters,SRS.    	Passing the Graduate Record Examination (GRE) is usually a requirement for entry into graduate school here in the US.
Western tribe.   		4 letters,"UTES.    	The Ute is a group of Native American tribes that now resides in Utah and Colorado. The Ute were not a unified people as such, but rather a loose association of nomadic groups."
Mountains of ___ (Genesis locale).   		6 letters,"ARARAT.    	Mount Ararat is in Turkey. Ararat is a snow-capped dormant volcano with two peaks. The higher of the two, Greater Ararat, is the tallest peak in the country. Ararat takes its name from a legendary Armenian hero called Ara the Beautiful (or Ara the Handsome). According to the Book of Genesis, Noah's ark landed on Mount Ararat as the Great Flood subsided."
Scand.   		3 letters,"NOR.    	Norway has been ranked as the country in the world with the highest standard of living almost every year since 2001. Norway is rich in natural resources and has a relatively low population. The people benefit from a comprehensive social security system, subsidized higher education for all citizens and universal health care."
Mountainous land.   		5 letters,"NEPAL.    	Nepal lies to the northeast of India. Today, the state is known as the Federal Democratic Republic of Nepal. In 2008, the Communist Party of Nepal won the country's general election. Soon after, the Assembly voted to change the form of government, moving away from a monarchy and creating a secular republic."
"""Aaron Burr, ___"" (""Hamilton"" song with a rhyming title).   		3 letters","SIR.    	'Hamilton' is a 2015 musical based on the life or US Founding Father Alexander Hamilton, as described in the 2004 biography by Ron Chernow. The representations of the main characters is decidedly ground-breaking. The show is rooted in hip-hop and the main roles such as Hamilton, Thomas Jefferson and George Washington are all played by African-American and Hispanic actors."
Cabs and such.   		4 letters,"REDS.    	The Cabernet Sauvignon grape has been around since the 17th century, and is the result of a chance crossing in southwestern France of the Cabernet franc and Sauvignon blanc grapes."
"Assist with a heist, say.   		4 letters","ABET.    	The word ""abet"" comes into English from the Old French ""abeter"" meaning ""to bait"" or ""to harass with dogs"" (it literally means ""to make bite""). This sense of encouraging something bad to happen morphed into our modern usage of ""abet"" meaning to aid or encourage someone in a crime."
Many a PX patron.   		3 letters,"NCO.    	A PX is a Post Exchange, a retail store operating on a US Army Base. The equivalent store on an Air Force Base is called a Base Exchange (BX). At a Navy installation it's a Navy Exchange (NEX), at a Marine Corps installation it's a Marine Corps Exchange (MCX) and at a Coast Guard Installation it's a CGX."
"Chase things, briefly?.   		3 letters","CDS.    	A certificate of deposit (CD) is like a less-flexible and higher-paying savings account. Instead of depositing money into a savings account and earning interest periodically, one can open a CD. With a CD one deposits a minimum amount of money but must leave it there for a specified length of time. In return for committing the funds for a fixed period, one is given a higher interest rate than a savings account and can redeem that interest and the initial deposit when the term has expired. CDs are relatively low-risk investments as they are FDIC insured, just like savings accounts."
"Confidant, peut-être.   		3 letters","AMI.    	In France, one might have perhaps (peut-etre) a friend (ami) who is a confidant."
Component of bronze.   		3 letters,"TIN.    	Bronze is an alloy of copper and tin. Compare this with brass, an alloy of copper and zinc. Copper and bronze are often mistaken for each other."
